Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong,Cleaned_Tweet,Tweet_list
Partai politik yang buruk!!!,1,0,0,1,0,0,0,0,1,0,0,1,ai politik buruk,"['ai', 'politik', 'buruk']"
"bubarkan pansus, buang-buang uang dan cari karena tok.... URL",1,0,0,1,0,0,0,0,1,0,0,1,bubar panitia khusus buang buang uang cari tok uniform resource locator,"['bubar', 'panitia', 'khusus', 'buang', 'buang', 'uang', 'cari', 'tok', 'uniform', 'resource', 'locator']"
Rezim Anti-Islam yang Represif Kalahkan JOKOWI,1,0,1,0,1,0,0,0,0,0,0,1,rezim anti islam represif kalah jokowi,"['rezim', 'anti', 'islam', 'represif', 'kalah', 'jokowi']"
"Padahal, hal inilah yang diinginkan masyarakat untuk mencopot Jokowi.",1,0,1,0,0,0,0,0,1,0,0,1,masyarakat copot jokowi,"['masyarakat', 'copot', 'jokowi']"
Memahami keberadaan KPK dengan logika korupsi sama saja dengan mendirikan lembaga anti maling untuk memberantas maling. Bubarkan Komisi Pemberantasan Korupsi,1,0,0,1,0,0,0,0,1,0,0,1,paham komisi berantas korupsi logika korupsi lembaga anti maling berantas maling bubar komisi berantas korupsi,"['paham', 'komisi', 'berantas', 'korupsi', 'logika', 'korupsi', 'lembaga', 'anti', 'maling', 'berantas', 'maling', 'bubar', 'komisi', 'berantas', 'korupsi']"
Gulingkan Jokowi Secara Radikal KURANGI REZIM BUATAN.. TURUN JOKOWI,1,0,1,0,0,0,0,0,1,0,0,1,guling jokowi radikal rezim turun jokowi,"['guling', 'jokowi', 'radikal', 'rezim', 'turun', 'jokowi']"
"USER Mantan penyanyi cilik yang gendut dan jelek banget, kalau gak salah ternyata saking besarnya sampai kecebong, sayang sekali tak ada yang akan memilih calon SJ yang arogan, yang jelas-jelas adalah orang yang jangan pernah sujud! TENGGELAM'",1,1,1,0,0,0,1,0,0,0,0,1,mantan nyanyi cilik gendut jelek banget salah nyata saking kecebong sayang pilih calon arogan orang sujud tenggelam,"['mantan', 'nyanyi', 'cilik', 'gendut', 'jelek', 'banget', 'salah', 'nyata', 'saking', 'kecebong', 'sayang', 'pilih', 'calon', 'arogan', 'orang', 'sujud', 'tenggelam']"
USER Kemudian bubarkan saja KPK dan kembalikan tanggung jawab ke kepolisian dan kejaksaan.,1,0,0,1,0,0,0,0,1,0,0,1,bubar komisi berantas korupsi tanggung polisi jaksa,"['bubar', 'komisi', 'berantas', 'korupsi', 'tanggung', 'polisi', 'jaksa']"
"USER Bubarkan saja KPK, yang besar pasti lolos",1,0,0,1,0,0,0,0,1,0,0,1,bubar komisi berantas korupsi lolos,"['bubar', 'komisi', 'berantas', 'korupsi', 'lolos']"
HANCURKAN PKI DAN MENTERINYA DI LBH_JAKARTA SEKARANG.,1,0,0,1,0,1,0,0,0,0,0,1,hancur partai komunis indonesia menteri jaka a,"['hancur', 'partai', 'komunis', 'indonesia', 'menteri', 'jaka', 'a']"
"Hati-hati penjajah Cina pakai cara Belanda melawan pribumi, sebelum terlambat usir saja bajingan Cina itu dari wilayah NKRI.",1,1,0,1,0,1,0,0,0,0,0,1,hati hati jajah cina pakai belanda lawan pribumi lambat usir bajing cina wilayah negara republik indonesia,"['hati', 'hati', 'jajah', 'cina', 'pakai', 'belanda', 'lawan', 'pribumi', 'lambat', 'usir', 'bajing', 'cina', 'wilayah', 'negara', 'republik', 'indonesia']"
RT USER USER USER USER Lanjutkan Usut Kasus Korupsi Sandiaga dan Anies BATALKAN Pengangkatan Anies-Sandi!,1,0,0,1,0,0,0,0,1,0,0,1,usut korupsi sandiaga anies batal angkat anies sandi,"['usut', 'korupsi', 'sandiaga', 'anies', 'batal', 'angkat', 'anies', 'sandi']"
"presiden kita, terlalu sedikit kebaikan, terlalu banyak KEBOHONGAN! blokir jokowi, copot jokowi",1,0,1,0,0,0,0,0,1,0,0,1,presiden bohong blokir jokowi copot jokowi,"['presiden', 'bohong', 'blokir', 'jokowi', 'copot', 'jokowi']"
RT USER: USER Saya lebih setuju kalau DPR dibubarkan,1,0,0,1,0,0,0,0,1,0,0,1,tuju dewan wakil rakyat bubar,"['tuju', 'dewan', 'wakil', 'rakyat', 'bubar']"
USER USER HTI juga merupakan organisasi yang menganut ideologi terlarang Bumi Pancasila sehingga harus segera dibubarkan.,1,0,0,1,1,0,0,0,0,0,0,1,hati rupa organisasi anut ideologi larang bumi pancasila bubar,"['hati', 'rupa', 'organisasi', 'anut', 'ideologi', 'larang', 'bumi', 'pancasila', 'bubar']"
RT USER Banyak yang aneh di DPR. Bau busuknya sangat menyengat. Mafia anggaranlah yang memainkan proyek dan banyak yang meleset. Dibubarkan,1,1,0,1,0,0,0,0,1,0,0,1,aneh dewan wakil rakyat bau busuk sengat mafia anggar main proyek meleset bubar,"['aneh', 'dewan', 'wakil', 'rakyat', 'bau', 'busuk', 'sengat', 'mafia', 'anggar', 'main', 'proyek', 'meleset', 'bubar']"
HANCURKAN PKI sampai ke akar URL,1,0,0,1,0,1,0,0,0,0,0,1,hancur partai komunis indonesia akar uniform resource locator,"['hancur', 'partai', 'komunis', 'indonesia', 'akar', 'uniform', 'resource', 'locator']"
"MAKAR TIDAK, HAPUS JOKOWI BAIK! Faizal Assegaf (Ketua Progres 98) Jutaan orang berdemonstrasi secara damai untuk? _",1,0,1,0,0,0,0,0,1,0,0,1,makar hapus jokowi faizal assegaf ketua progres 98 juta orang demonstrasi damai,"['makar', 'hapus', 'jokowi', 'faizal', 'assegaf', 'ketua', 'progres', '98', 'juta', 'orang', 'demonstrasi', 'damai']"
"Yang kaya di Indonesia bukan orang Indonesia, tapi orang Cina, itu aneh. Ayo, Pribumi, usir mereka dari negara kita.",1,0,0,1,0,1,0,0,0,0,0,1,kayak indonesia orang indonesia orang cina aneh ayo pribumi usir negara,"['kayak', 'indonesia', 'orang', 'indonesia', 'orang', 'cina', 'aneh', 'ayo', 'pribumi', 'usir', 'negara']"
"Hentikan dan tutup iklan Meikerta karena Meikerta adalah proyek palsu...sampah Cina asli Anda, segera bertobat.",1,1,0,1,0,1,0,0,0,0,0,1,henti tutup iklan meike a meike a proyek palsu sampah cina asli be obat,"['henti', 'tutup', 'iklan', 'meike', 'a', 'meike', 'a', 'proyek', 'palsu', 'sampah', 'cina', 'asli', 'be', 'obat']"
Hancurkan URL PKI dan antek-anteknya (orang dan partai pendukungnya).,1,0,0,1,0,1,0,0,0,0,0,1,hancur uniform resource locator partai komunis indonesia antek antek orang ai dukung,"['hancur', 'uniform', 'resource', 'locator', 'partai', 'komunis', 'indonesia', 'antek', 'antek', 'orang', 'ai', 'dukung']"
USER Bubarkan HTI yang korup,1,0,0,1,1,0,0,0,0,0,0,1,bubar hati korup,"['bubar', 'hati', 'korup']"
EXPISE FAHRI DAN PENCURI DI DPR,1,1,1,0,0,0,0,0,1,0,0,1,expise fahri curi dewan wakil rakyat,"['expise', 'fahri', 'curi', 'dewan', 'wakil', 'rakyat']"
Timeline mulai panas dan kembali menumpas PKI,1,0,0,1,0,1,0,0,0,0,0,1,lini panas tumpas partai komunis indonesia,"['lini', 'panas', 'tumpas', 'partai', 'komunis', 'indonesia']"
"Di otak presiden? PENGGUNA? ; Jadi apapun yang dilakukan rakyat, presiden menuduh rakyat tidak toleran dan menyebut mereka radikal, teroris, dan sebagainya; ; #sinkPDIP?; #Ting",1,0,0,1,0,0,0,0,1,0,0,1,otak presiden laku rakyat presiden tuduh rakyat toleran radikal teroris sinkpdip ting,"['otak', 'presiden', 'laku', 'rakyat', 'presiden', 'tuduh', 'rakyat', 'toleran', 'radikal', 'teroris', 'sinkpdip', 'ting']"
"Jika Anies menang, langkah selanjutnya adalah menggulingkan Jokowi",1,0,1,0,0,0,0,0,1,0,0,1,anies menang langkah guling jokowi,"['anies', 'menang', 'langkah', 'guling', 'jokowi']"
Aamiin.. gulingkan jokowi.. Bikin rusuh masyarakat USER USER Action313JokowiTakut Mundur,1,0,1,0,0,0,0,0,1,0,0,1,amin guling jokowi bikin rusuh masyarakat action313jokowitakut mundur,"['amin', 'guling', 'jokowi', 'bikin', 'rusuh', 'masyarakat', 'action313jokowitakut', 'mundur']"
"Percuma dapat banyak medali kalau ujung-ujungnya cuma diteriakkan ""JELEHKAN KAFIR""",1,1,0,1,1,0,0,0,0,0,0,1,medali ujung ujung teriak jelehkan kafir,"['medali', 'ujung', 'ujung', 'teriak', 'jelehkan', 'kafir']"
Lanjutkan menghancurkan URL PKi,1,0,0,1,0,1,0,0,0,0,0,1,hancur uniform resource locator partai komunis indonesia,"['hancur', 'uniform', 'resource', 'locator', 'partai', 'komunis', 'indonesia']"
gulingkan jokowi sekarang!!!,1,0,1,0,0,0,0,0,1,0,0,1,guling jokowi,"['guling', 'jokowi']"
Pemenjaraan Ahok Gulingkan Jokowi Komunis China Penistaan ​​Agama Kriminalisasi Ulama Kriminalisasi Ormas Islam,1,0,1,0,0,1,0,0,0,0,0,1,penjara ahok guling jokowi komunis cina nista agama kriminalisasi ulama kriminalisasi organisasi masyarakat islam,"['penjara', 'ahok', 'guling', 'jokowi', 'komunis', 'cina', 'nista', 'agama', 'kriminalisasi', 'ulama', 'kriminalisasi', 'organisasi', 'masyarakat', 'islam']"
"Pilkada DKI Penuh Intimidasi, Masih Validkah Hasilnya? Anies-Sandi Kampanye dengan Janji PALSU, BATALKAN Pengangkatan Anies-Sandi!!!",1,0,1,0,0,0,0,0,1,0,0,1,pilih kepala daerah daerah khusus ibukota penuh intimidasi valid hasil anies sandi kampanye janji palsu batal angkat anies sandi,"['pilih', 'kepala', 'daerah', 'daerah', 'khusus', 'ibukota', 'penuh', 'intimidasi', 'valid', 'hasil', 'anies', 'sandi', 'kampanye', 'janji', 'palsu', 'batal', 'angkat', 'anies', 'sandi']"
RT USER Jangan merasa berkuasa dalam jubah kekuasaan. Jangan menunggu sampai orang marah. Pecat Setya Novanto Pecat Ketua DPR,1,0,1,0,0,0,0,0,1,0,0,1,kuasa jubah kuasa tunggu orang marah pecat setya novanto pecat ketua dewan wakil rakyat,"['kuasa', 'jubah', 'kuasa', 'tunggu', 'orang', 'marah', 'pecat', 'setya', 'novanto', 'pecat', 'ketua', 'dewan', 'wakil', 'rakyat']"
"Allahu Akbar kesal karena Ahok dan FPI membubarkan GMBI, mencopot Kapolda Jabar, dan memenjarakan Ahok",1,0,0,1,0,0,0,0,1,0,0,1,allahu akbar kesal ahok front bela islam bubar gera masyarakat indonesia copot kepala polisi daerah jabar penjara ahok,"['allahu', 'akbar', 'kesal', 'ahok', 'front', 'bela', 'islam', 'bubar', 'gera', 'masyarakat', 'indonesia', 'copot', 'kepala', 'polisi', 'daerah', 'jabar', 'penjara', 'ahok']"
"Berarti anda bukan penduduk asli.. USER, ayo jadikan anda penduduk asli.. Keluarkan USER dari Indonesia.. Anda keturunan Tionghoa, bukan penduduk asli",1,0,1,0,0,1,0,0,0,0,0,1,bera i duduk asli ayo duduk asli indonesia turun tionghoa duduk asli,"['bera', 'i', 'duduk', 'asli', 'ayo', 'duduk', 'asli', 'indonesia', 'turun', 'tionghoa', 'duduk', 'asli']"
"Kalau kita benci Pak Jokowi, buat apa kita mengeluh atas koreksinya? Kami baru saja menghapus USER USER USER USER",1,0,1,0,0,0,0,0,1,0,0,1,benci jokowi keluh koreksi hapus,"['benci', 'jokowi', 'keluh', 'koreksi', 'hapus']"
"USER USER USER Baru saja membubarkan KPK, tidak ada manfaatnya, hanya membuang-buang uang rakyat, menangani kasus korupsi sama saja dengan polisi IMPOTEN, mending lembaga ini dibubarkan saja di era presiden baru .",1,0,0,1,0,0,0,0,1,0,0,1,bubar komisi berantas korupsi manfaat buang buang uang rakyat tangan korupsi polisi impoten mending lembaga bubar era presiden,"['bubar', 'komisi', 'berantas', 'korupsi', 'manfaat', 'buang', 'buang', 'uang', 'rakyat', 'tangan', 'korupsi', 'polisi', 'impoten', 'mending', 'lembaga', 'bubar', 'era', 'presiden']"
"Mengusir agama Budha dari Indonesia yang mayoritas penduduknya Tionghoa,",1,0,0,1,1,1,0,0,0,0,0,1,usir agama buddha indonesia mayoritas duduk tionghoa,"['usir', 'agama', 'buddha', 'indonesia', 'mayoritas', 'duduk', 'tionghoa']"
USER Bubarkan HTI yang Ditangkap KPK.....,1,0,0,1,1,0,0,0,0,0,0,1,bubar hati tangkap komisi berantas korupsi,"['bubar', 'hati', 'tangkap', 'komisi', 'berantas', 'korupsi']"
Selanjutnya turunkan jokowi pak USER,1,0,1,0,0,0,0,0,1,0,0,1,turun jokowi,"['turun', 'jokowi']"
"Ajarkan cinta kasih, hentikan nubuatan tentang Muhammad yang bejat dan sembahlah Allah SWT yang bodoh dan biadab agar Indonesia 100% sukses",1,1,0,1,1,0,0,0,0,0,0,1,ajar cinta kasih henti nubuat muhammad bejat sembah allah subhanahu wa taala bodoh biadab indonesia 100 sukses,"['ajar', 'cinta', 'kasih', 'henti', 'nubuat', 'muhammad', 'bejat', 'sembah', 'allah', 'subhanahu', 'wa', 'taala', 'bodoh', 'biadab', 'indonesia', '100', 'sukses']"
BUBARKAN_DPR BUBARKAN_DPR BUBARKAN_DPR BUBARKAN_DPR BUBARKAN_DPR BUBARKAN_DPR BUBARKAN_DPR BUBARKAN_DPR,1,0,0,1,0,0,0,0,1,0,0,1,bubar dewan wakil rakyat bubar dewan wakil rakyat bubar dewan wakil rakyat bubar dewan wakil rakyat bubar dewan wakil rakyat bubar dewan wakil rakyat bubar dewan wakil rakyat bubar dewan wakil rakyat,"['bubar', 'dewan', 'wakil', 'rakyat', 'bubar', 'dewan', 'wakil', 'rakyat', 'bubar', 'dewan', 'wakil', 'rakyat', 'bubar', 'dewan', 'wakil', 'rakyat', 'bubar', 'dewan', 'wakil', 'rakyat', 'bubar', 'dewan', 'wakil', 'rakyat', 'bubar', 'dewan', 'wakil', 'rakyat', 'bubar', 'dewan', 'wakil', 'rakyat']"
Rizieq shihab fpi jancok asu kontol tempek anjing babi bajingan brengsek jalang balon jalang banci jalang taek pengecut cabul cok teroris bubarkan ormas FPI #HTIMakar',1,1,0,1,1,0,0,1,0,0,0,1,rizieq shihab front bela islam jancuk anjing kontol tempek anjing babi bajing berengsek jalang balon jalang banci jalang tai kecut cabul cok teroris bubar organisasi masyarakat front bela islam hizbut tahrir indonesia makar,"['rizieq', 'shihab', 'front', 'bela', 'islam', 'jancuk', 'anjing', 'kontol', 'tempek', 'anjing', 'babi', 'bajing', 'berengsek', 'jalang', 'balon', 'jalang', 'banci', 'jalang', 'tai', 'kecut', 'cabul', 'cok', 'teroris', 'bubar', 'organisasi', 'masyarakat', 'front', 'bela', 'islam', 'hizbut', 'tahrir', 'indonesia', 'makar']"
Jatuhkan si brengsek jokowi!!,1,1,1,0,0,0,0,0,1,0,0,1,jatuh sih berengsek jokowi,"['jatuh', 'sih', 'berengsek', 'jokowi']"
PENGGUNA RT: babi cina... pencuri cina...\n#EvictChina https:\/\/t.co\/9y4HIWHJp2,1,1,0,1,0,1,0,0,0,0,0,1,babi cina curi cina evictchina hypertext transfer protocol over secure socket layer t co 9y4hiwhjp2,"['babi', 'cina', 'curi', 'cina', 'evictchina', 'hypertext', 'transfer', 'protocol', 'over', 'secure', 'socket', 'layer', 't', 'co', '9y4hiwhjp2']"
"Jangan Salah Sasaran, Jangan Jadi Ahok... Agenda Utamanya Tumbangkan Jokowi..",1,0,1,0,0,0,0,0,1,0,0,1,salah sasar ahok agenda utama tumbang jokowi,"['salah', 'sasar', 'ahok', 'agenda', 'utama', 'tumbang', 'jokowi']"
Tiongkok menghancurkan negaranya!! Membuangnya!! Terhadap??,1,0,0,1,0,1,0,0,0,0,0,1,tiongkok hancur negara buang hadap,"['tiongkok', 'hancur', 'negara', 'buang', 'hadap']"
USER USER USER USER USER USER USER Bangke.. kalahkan!!!!',1,1,1,0,0,0,0,0,1,0,0,1,bangkai kalah,"['bangkai', 'kalah']"
USER USER USER USER Unta Yaman ini\n\nSaya akan mendeportasi Anda dalam waktu satu tahun,1,1,1,0,0,0,0,0,1,0,0,1,unta yaman depo asi,"['unta', 'yaman', 'depo', 'asi']"
"USER Pak USER Mahfud MD telah berpaling dari Allah SWT Pemberang, demi bangsa mengajak semua untuk membuang Islam",1,1,0,1,1,0,0,0,0,0,0,1,mahfud md allah subhanahu wa taala berang bangsa ajak buang islam,"['mahfud', 'md', 'allah', 'subhanahu', 'wa', 'taala', 'berang', 'bangsa', 'ajak', 'buang', 'islam']"
"APA ARTINYA ? Penduduk asli menyadari & melihat siapa mereka? KECUALI ANDA KOMUNIS/MISIONARIS CINA, abaikan tweet ini, usir orang Tionghoa Indonesia",1,0,0,1,0,1,0,0,0,0,0,1,a inya duduk asli sadar lihat kecuali komunis misionaris cina abai twit usir orang tionghoa indonesia,"['a', 'inya', 'duduk', 'asli', 'sadar', 'lihat', 'kecuali', 'komunis', 'misionaris', 'cina', 'abai', 'twit', 'usir', 'orang', 'tionghoa', 'indonesia']"
Sementara USER menentang dakwah Islam & membubarkan HTI..! Rakyat juga berhak mencopot jokowok pembuat gambar tersebut!!,1,0,1,0,1,0,0,0,0,0,0,1,dakwah islam bubar hati rakyat hak copot jokowi kodok gambar,"['dakwah', 'islam', 'bubar', 'hati', 'rakyat', 'hak', 'copot', 'jokowi', 'kodok', 'gambar']"
Bubarkan HTI &amp; FPI. URL,1,0,0,1,1,0,0,0,0,0,0,1,bubar hati amp front bela islam uniform resource locator,"['bubar', 'hati', 'amp', 'front', 'bela', 'islam', 'uniform', 'resource', 'locator']"
"Penjajahan di tanah Indonesia harus dihapuskan, bukan? Kita harus membasmi penjajahan ekonomi, budaya, dan pertanian Cina. Demi Negara Kesatuan Republik Indonesia. Singkirkan...",1,0,0,1,0,1,0,0,0,0,0,1,jajah tanah indonesia hapus basmi jajah ekonomi budaya pe ani cina negara republik indonesia singkir,"['jajah', 'tanah', 'indonesia', 'hapus', 'basmi', 'jajah', 'ekonomi', 'budaya', 'pe', 'ani', 'cina', 'negara', 'republik', 'indonesia', 'singkir']"
Menempati Istana Negara!! Sekaligus melengserkan Jokowi Salam 2 Tahun USER,1,0,1,0,0,0,0,0,1,0,0,1,istana negara lengser jokowi salam 2,"['istana', 'negara', 'lengser', 'jokowi', 'salam', '2']"
PENGGUNA Bubarkan Negara Kesatuan Republik Indonesia dengan segala cara.,1,0,0,1,0,0,0,0,1,0,0,1,bubar negara republik indonesia,"['bubar', 'negara', 'republik', 'indonesia']"
Adzan di TV yang menyebut Allah SWT bodoh & biadab harus dihentikan dan acara yang mencemarkan nama baik Tuhan tidak boleh dilanjutkan.,1,1,0,1,1,0,0,0,0,0,0,1,azan televisi allah subhanahu wa taala bodoh biadab henti acara cemar nama tuhan,"['azan', 'televisi', 'allah', 'subhanahu', 'wa', 'taala', 'bodoh', 'biadab', 'henti', 'acara', 'cemar', 'nama', 'tuhan']"
"Berhasil Penjarakan Ahok, Alumni 212 Pendukung Rizieq Bakal Tumbangkan Jokowi Usai Idul Fitri",1,0,1,0,0,0,0,0,1,0,0,1,hasil penjara ahok alumni 212 dukung rizieq tumbang jokowi idul fitri,"['hasil', 'penjara', 'ahok', 'alumni', '212', 'dukung', 'rizieq', 'tumbang', 'jokowi', 'idul', 'fitri']"
Fahri Hamzah: Kalau Saya Presiden KPK Saya Akan Bubarkan URL,1,0,0,1,0,0,0,0,1,0,0,1,fahri hamzah presiden komisi berantas korupsi bubar uniform resource locator,"['fahri', 'hamzah', 'presiden', 'komisi', 'berantas', 'korupsi', 'bubar', 'uniform', 'resource', 'locator']"
RT USER Bubarkan DPR.. SAVEKPK,1,0,0,1,0,0,0,0,1,0,0,1,bubar dewan wakil rakyat save komisi berantas korupsi,"['bubar', 'dewan', 'wakil', 'rakyat', 'save', 'komisi', 'berantas', 'korupsi']"
Setuju Ahokers akan menggulingkan Prabon Jokowi daripada menghancurkan penjara tanpa alasan.. URL,1,0,1,0,0,0,0,0,1,0,0,1,tuju ahoker guling prabowo jokowi hancur penjara alas uniform resource locator,"['tuju', 'ahoker', 'guling', 'prabowo', 'jokowi', 'hancur', 'penjara', 'alas', 'uniform', 'resource', 'locator']"
"Di sini kita jawab, bagaimana kita bisa mengusir Buddha"" USER: Muslim Rohingya yang Kurang Ajar Dikecualikan dari Data Sensus Penduduk Myanmar",1,0,0,1,1,0,0,0,0,0,0,1,usir buddha muslim rohingya ajar kecuali data sensus duduk myanmar,"['usir', 'buddha', 'muslim', 'rohingya', 'ajar', 'kecuali', 'data', 'sensus', 'duduk', 'myanmar']"
"Yang kita pertahankan adalah Pancasila dan Kedaulatan Negara. Jika USER tidak mendukung, maka HAPUS saja!!... Sekarang ancamannya nyata!!.",1,0,1,0,0,0,0,0,1,0,0,1,pe ahankan pancasila daulat negara dukung hapus ancam nyata,"['pe', 'ahankan', 'pancasila', 'daulat', 'negara', 'dukung', 'hapus', 'ancam', 'nyata']"
"Kalau tak mau mendengarkan ulama dan ngotot mengkriminalisasi ulama, copot saja Jokowi.",1,0,1,0,0,0,0,0,1,0,0,1,dengar ulama otot kriminalisasi ulama copot jokowi,"['dengar', 'ulama', 'otot', 'kriminalisasi', 'ulama', 'copot', 'jokowi']"
"Tiongkok lagi... Tiongkok lagi... Sebaiknya usir saja mereka, kan? itu merusak pekerjaannya",1,0,0,1,0,1,0,0,0,0,0,1,tiongkok tiongkok usir rusak kerja,"['tiongkok', 'tiongkok', 'usir', 'rusak', 'kerja']"
PENGGUNA Ayo Rakyat Indonesia Bersihkan Etnis Tionghoa Ahok,1,0,0,1,0,1,0,0,0,0,0,1,ayo rakyat indonesia sih etnis tionghoa ahok,"['ayo', 'rakyat', 'indonesia', 'sih', 'etnis', 'tionghoa', 'ahok']"
"Jokowi sudah menyerah, saatnya gantikan Jokowi, gulingkan URL Qishosjokowi milik Jokowi",1,0,1,0,0,0,0,0,1,0,0,1,jokowi serah ganti jokowi guling uniform resource locator kisas jokowi milik jokowi,"['jokowi', 'serah', 'ganti', 'jokowi', 'guling', 'uniform', 'resource', 'locator', 'kisas', 'jokowi', 'milik', 'jokowi']"
USER Bubarkan saja Komisi Pemberantasan Korupsi agar para koruptor leluasa memperkaya diri di negeri ini,1,0,0,1,0,0,0,0,1,0,0,1,bubar komisi berantas korupsi koruptor leluasa kaya negeri,"['bubar', 'komisi', 'berantas', 'korupsi', 'koruptor', 'leluasa', 'kaya', 'negeri']"
PENGGUNA Hanya di rezim ini orang kaya berani tampil di layar. Mohon segera ambil tindakan PENGGUNA PENGGUNA,1,0,1,0,0,0,0,0,1,0,0,1,rezim orang kayak berani tampil layar mohon ambil tindak,"['rezim', 'orang', 'kayak', 'berani', 'tampil', 'layar', 'mohon', 'ambil', 'tindak']"
"Mengapa hanya orang Tionghoa non-Muslim yang dibantai? USER juga orang Cina, usir dia juga.",1,0,0,1,1,1,0,0,0,0,0,1,orang tionghoa non muslim bantai orang cina usir,"['orang', 'tionghoa', 'non', 'muslim', 'bantai', 'orang', 'cina', 'usir']"
Bubarkan saja DPR dan KPK... sama bodohnya,1,1,0,1,0,0,0,0,1,0,0,1,bubar dewan wakil rakyat komisi berantas korupsi bodoh,"['bubar', 'dewan', 'wakil', 'rakyat', 'komisi', 'berantas', 'korupsi', 'bodoh']"
RT USER DPR tidak perlu dibubarkan,1,0,0,1,0,0,0,0,1,0,0,1,dewan wakil rakyat bubar,"['dewan', 'wakil', 'rakyat', 'bubar']"
PENGGUNA USER hancurkan pki. Mari kita dukung Prabowo untuk tahun 2019,1,0,0,1,0,1,0,0,0,0,0,1,hancur partai komunis indonesia mari dukung prabowo 2019,"['hancur', 'partai', 'komunis', 'indonesia', 'mari', 'dukung', 'prabowo', '2019']"
"USER Pak USER Membuang Islam memang menyakitkan, tapi harus dilakukan demi kebaikan seluruh umat manusia",1,0,0,1,1,0,0,0,0,0,0,1,buang islam sakit laku umat manusia,"['buang', 'islam', 'sakit', 'laku', 'umat', 'manusia']"
RT USER USER Makanya kalian dukung koruptor! Bubarkan Komisi Pemberantasan Korupsi. Pantas saja… dari situlah muncul isu PKI. Sungguh orang yang korup,1,0,0,1,0,0,0,0,1,0,0,1,dukung koruptor bubar komisi berantas korupsi situ muncul isu partai komunis indonesia sungguh orang korup,"['dukung', 'koruptor', 'bubar', 'komisi', 'berantas', 'korupsi', 'situ', 'muncul', 'isu', 'partai', 'komunis', 'indonesia', 'sungguh', 'orang', 'korup']"
"RT USER Absurd...pansus hanya menghalangi Komisi Pemberantasan Korupsi (KPK) mengusut kawan korupnya, membubarkan DPR yang sarang korupsi",1,0,0,1,0,0,0,0,1,0,0,1,absurd panitia khusus halang komisi berantas korupsi komisi berantas korupsi usut kawan korup bubar dewan wakil rakyat sarang korupsi,"['absurd', 'panitia', 'khusus', 'halang', 'komisi', 'berantas', 'korupsi', 'komisi', 'berantas', 'korupsi', 'usut', 'kawan', 'korup', 'bubar', 'dewan', 'wakil', 'rakyat', 'sarang', 'korupsi']"
LARUTKAN ILLUNI UI,1,0,0,1,0,0,0,0,1,0,0,1,larut illuni oi,"['larut', 'illuni', 'oi']"
Ahok harus mengakhiri hukuman penjara Ahok. penahanan Ahok,1,0,1,0,0,0,0,0,1,0,0,1,ahok hukum penjara ahok tahan ahok,"['ahok', 'hukum', 'penjara', 'ahok', 'tahan', 'ahok']"
"Apapun masalahnya, itu tanggung jawab Presiden.. jalan keluar dari solusi yang terbaik.. Jatuhkan Jokowi...!!",1,0,1,0,0,0,0,0,1,0,0,1,tanggung presiden jalan solusi jatuh jokowi,"['tanggung', 'presiden', 'jalan', 'solusi', 'jatuh', 'jokowi']"
Kapan Kita Mulai Menyingkirkan Jokowi? Ini semakin buruk bagi PENGGUNA,1,0,1,0,0,0,0,0,1,0,0,1,singkir jokowi buruk,"['singkir', 'jokowi', 'buruk']"
Mari bersiap membubarkan URL PENGGUNA DPR,1,0,0,1,0,0,0,0,1,0,0,1,mari bubar uniform resource locator dewan wakil rakyat,"['mari', 'bubar', 'uniform', 'resource', 'locator', 'dewan', 'wakil', 'rakyat']"
"Blokir Jokowi Hebat, ternyata dunia maya sudah tergambar, tinggal mewujudkannya di dunia nyata. HAPUS JOKOWI",1,0,1,0,0,0,0,0,1,0,0,1,blokir jokowi hebat nyata dunia maya gambar tinggal wujud dunia nyata hapus jokowi,"['blokir', 'jokowi', 'hebat', 'nyata', 'dunia', 'maya', 'gambar', 'tinggal', 'wujud', 'dunia', 'nyata', 'hapus', 'jokowi']"
"Sumbu Pendek: Koalisi Jokowi dengan Negara PKI, PKI Jokowi, Menggulingkan Jokowi....Memberi Semangat Saya",1,0,1,0,0,1,0,0,0,0,0,1,sumbu pendek koalisi jokowi negara partai komunis indonesia partai komunis indonesia jokowi guling jokowi semangat,"['sumbu', 'pendek', 'koalisi', 'jokowi', 'negara', 'partai', 'komunis', 'indonesia', 'partai', 'komunis', 'indonesia', 'jokowi', 'guling', 'jokowi', 'semangat']"
TURUNKAN PKI DAN MENTERINYA!,1,0,0,1,0,1,0,0,0,0,0,1,turun partai komunis indonesia menteri,"['turun', 'partai', 'komunis', 'indonesia', 'menteri']"
USER baru saja membubarkan KPK.. Jadikan orang itu sebagai tersangka sembarangan.. Anda kalah sekarang,1,0,0,1,0,0,0,0,1,0,0,1,bubar komisi berantas korupsi orang sangka sembarang kalah,"['bubar', 'komisi', 'berantas', 'korupsi', 'orang', 'sangka', 'sembarang', 'kalah']"
Saatnya usir penjajah Tiongkok dari Indonesia!! PENGGUNA PENGGUNA PENGGUNA PENGGUNA PENGGUNA,1,0,0,1,0,1,0,0,0,0,0,1,usir jajah tiongkok indonesia,"['usir', 'jajah', 'tiongkok', 'indonesia']"
